Reference,Qty,Value,DNP,price/unit,sum,Vendor,Footprint,Datasheet
"C1,C11,C14,C17,C22,C23",6,0.01uF,CL21B103KBANNNC,0.1,0.6,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673,Capacitor_SMD:C_0805_2012Metric,~
"C2,C3,C4,C5,C6,C7,C8,C9,C18,C20,C21,C24",12,0.1uF,CL21B104KBCNNNC,0.1,1.2,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661?s=N4IgTCBcDaIMIBkwEYBCyAMAWA0quAckXCALoC%2BQA,Capacitor_SMD:C_0805_2012Metric,~
"C10,C13,C19",3,1uF,CL05A105KO5NNNC,0.1,0.3,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A105KO5NNNC/3886725,Capacitor_SMD:C_0805_2012Metric,~
"C12,C15,C16,C25",4,10uF,CL21A106KPFNNNE,0.1,0.4,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KPFNNNE/3886710?s=N4IgTCBcDaIMIBkwEYCCyAMA2A0gBQDEA5EgURAF0BfIA,Capacitor_SMD:C_0805_2012Metric,~
"D1,D3,D4",3,RED,LTST-C150KRKT,0.16,0.48,https://www.digikey.com.mx/es/products/detail/liteon/LTST-C150KRKT/386761?srsltid=AfmBOorwQqiuYKUm_4Wn7a27B6QmOmT22Nmu6zgWmG6erG1P7-2NJcqS,LED_SMD:LED_1206_3216Metric,~
FB1,1,600R/0.5A,BMC-Q1JY0600H,0.299,0.299,https://www.mouser.mx/ProductDetail/TE-Connectivity-Sigma-Inductors/BMC-Q1JY0600H?qs=IKkN%2F947nfCpdKXvHAmIsg%3D%3D&srsltid=AfmBOoqx7EsG0KkdCNnBqh4gAW79b63rd6qAayTFI2BxUj2EV-m7e1Fh,Inductor_SMD:L_0805_2012Metric,~
J1,1,USB_B_Micro,105017-0001,0.92,0.92,https://www.digikey.com.mx/es/products/detail/molex/1050170001/2350832?srsltid=AfmBOooTm4tfrIZGSL_IeosZWA5jU1s9Ud7imub7MJHpVp5U8uPyIFdC,strive_foot_prints:FCI_10118193-0001LF,~
"J2,J6,J12",3,Conn_01x02_Pin,M50-3530242,0.1,0.3,https://www.digikey.com.mx/es/products/detail/harwin-inc/M50-3530242/7044013?srsltid=AfmBOorqnser39xM9J7NPPK4jXD9lq6_hgJ2tyg80tIUVbv23jOh3s3z,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
"J3,J5,J8,J9",4,Conn_01x02_Pin,M50-3530242,0.1,0.4,https://www.digikey.com.mx/es/products/detail/harwin-inc/M50-3530242/7044013?s=N4IgTCBcDaILIFYAMBaAzAtSwBYIF0BfIA,Caravel_Board:Shorted_PinHeader_1x02_P2.54mm_Vertical,~
J4,1,Conn_01x03_Pin,61300311121,0.13,0.13,https://www.digikey.com.mx/es/products/detail/w%C3%BCrth-elektronik/61300311121/4846825?s=N4IgTCBcDaIGwEYDMAGFSGbAkBdAvkA,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
